卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,考据置信度,考据备注
粤睿智达,量产品牌,平顶全覆式头盔,头盔,N337 套装拆件,巨盔,西欧,1250-1350,十字军；巨盔,锁甲、罩袍、骑枪、熨斗盾/筝形盾,中高,N337 整套存在年代混搭；单独拆出的巨盔更适合13世纪后半至14世纪初组合。
粤睿智达,量产品牌,宽檐钢盔,头盔,N338 套装拆件,Kettle Hat／War Hat／Chapel-de-fer,西欧—中欧,1300-1500,锅盔；战帽；步兵,布面甲、锁甲、长矛/弩/长柄武器；尤其适合15世纪步兵,高,形制通用，不宜限定为某一国家或骑士阶层。
粤睿智达,量产品牌,铆钉布面躯干,甲身,N335–N338 套装拆件,布面甲,欧洲,1350-1500,布面甲；铆钉甲,盆盔、锅盔、萨莱特盔；骑士随从、佣兵、步兵,中高,按同模配件族合并记录；不同颜色/纹章不重复建条目。
粤睿智达,量产品牌,泛型板甲躯干,甲身,N335/N337 套装拆件,泛型晚期中世纪板甲躯干,西欧—中欧,1450-1500,板甲；泛型,萨莱特盔、武装盔、锅盔；晚15世纪骑士/重装步战,中,造型较玩具化，不建议硬标为米兰式或哥特式。
粤睿智达,量产品牌,简易双肩甲,肩甲,N336/N338 套装拆件,泛型肩甲,欧洲,1400-1550,肩甲；通用,布面甲、晚期板甲躯干、15世纪步战/骑士,中,按同模配件族合并；该件仅提供通用肩部防护轮廓。
粤睿智达,量产品牌,刺球锤,武器,N335/N338 套装拆件,刺球锤,欧洲,1300-1600,钉头锤；锤；通用,晚中世纪骑士、步兵、佣兵,中,时代辨识度不高；按同模配件族合并。
粤睿智达,量产品牌,单手战斧,武器,N336/N337 套装拆件,单手战斧,欧洲,1300-1500,战斧；单手斧；通用,步兵、骑士随从、佣兵,中高,同模合并记录；形制缺乏更窄的地域指向。
粤睿智达,量产品牌,长柄锤嘴武器,武器,N335/N338 套装拆件,Pollaxe／Pole Hammer,西欧—中欧,1400-1550,Pollaxe；Pole Hammer；板甲步战,晚期板甲骑士、步战武士、佣兵,中高,具体斧刃/锤嘴比例有玩具化处理。
粤睿智达,量产品牌,长柄斧枪,武器,N336/N337 套装拆件,早期戟式长兵器,中欧,1450-1600,戟；步兵,15–16世纪中欧步兵、城市民兵、佣兵,中高,与 pollaxe 分开记录；器首仍属概括化的晚期戟式长兵器。
未标明品牌,量产品牌,条顿骑士长纹章巨盔,头盔,条顿骑士长铁骑拆件,大型盔饰纹章巨盔,德意志骑士团—波罗的海地区,1250-1400,条顿骑士；巨盔；纹章盔饰；纹章,锁甲＋罩袍、骑枪、纹章盾；高级骑士/比赛或展示性人物,中高,巨盔本体可靠；巨大翼状盔饰属于高度纹章化表达，更适合高级人物或展示而非普通骑士统一装备。
未标明品牌,量产品牌,锁甲马铠,马铠/马具,条顿骑士长铁骑拆件,锁甲马铠,西欧—中欧,1200-1400,马铠；锁甲马铠；重骑兵,巨盔时代重骑兵；锁甲骑士＋骑枪，适合十字军/德意志骑士团场景,高,13–14世纪重骑兵马匹防护题材较少见，本件可补足锁甲马铠这一装备层。
未标明品牌,量产品牌,可翻面甲早期封闭盔,头盔,哥特骑士【男素体】拆件,早期封闭盔（可翻面甲）,德意志—中欧,1500-1530,早期封闭盔,德式文艺复兴早期板甲、马克西米利安时代装饰甲、长剑/poleaxe,中高,并非典型15世纪萨莱特盔；整体更适合约1510–1530的德式早期封闭盔语境，面甲结构有明显玩具化。
未标明品牌,量产品牌,德式文艺复兴早期装饰甲身,甲身,哥特骑士【男素体】拆件,德意志文艺复兴早期装饰板甲甲身,德意志南部—奥地利,1510-1530,Costume Armour；装饰板甲,早期封闭盔、早期16世纪德式臂甲；长剑、poleaxe、宫廷/贵族角色,中高,圆鼓胸甲与夸张褶皱/花饰肩部更接近16世纪初服装化、宫廷化甲胄语言；不是1470年代典型高哥特。
VE,量产品牌,面甲盆盔衍生,头盔,VE0108/VE0114 套装拆件,面甲盆盔衍生,西欧—中欧,1375-1450,盆盔；面甲盆盔,锁甲护颈、coat-of-plates、14世纪末—15世纪初过渡甲,中,圆顶盔体配侧轴面甲，接近面甲盆盔语言，但细节较玩具化；不宜当作16世纪成熟封闭盔。
VE,量产品牌,宽檐盔＋颈防,头盔,VE0109/VE0111/VE0112/VE0138/VE0143/VE0145 套装拆件,锅盔／战帽＋锁甲／鳞甲颈防,西欧—中欧,1350-1500,锅盔；战帽；颈防；步兵,锁甲、布面甲、布甲；长矛、弩、长柄武器,中高,大面积甲片/锁甲颈防属于模型化组合，不能据此认定固定历史套型。
VE,量产品牌,锥形鼻护盔＋锁甲护颈,头盔,VE0110/VE0113/VE0115/VE0140 套装拆件,锥形鼻护盔＋锁甲护颈,西欧—北欧—中欧,1050-1250,鼻护盔；锁甲,长锁甲、筝形盾/圆盾、长矛、斧,中高,VE0110整套虽标“Sassanid Archer”，该头盔组合本身更接近中世纪欧洲语言。
VE,量产品牌,分片式鼻护盔＋锁甲护颈,头盔,VE0139/VE0141/VE0142 套装拆件,分片式鼻护盔＋锁甲兜帽,西欧—北欧—中欧,1000-1250,分片盔；鼻护盔；锁甲,锁甲/厚布衣、圆盾或筝形盾、长矛、剑/斧,中高,分片铆接视觉明显，适合普通武装人员、扈从和早期骑士；不宜配晚期板甲。
VE,量产品牌,全覆面盔＋锁甲护颈,头盔,VE0116/VE0118/VE0120/VE0123/VE0144 套装拆件,巨盔—盆盔混合型,西欧,1330-1420,盆盔；巨盔；锁甲护颈；混合型,14世纪过渡甲、coat-of-plates、锁甲；可作为预算型百年战争头盔,中低,圆顶全覆面甲与锁甲护颈混合了盆盔和巨盔的视觉语言；作为历史精确型号不够稳定，但拆件仍有搭配价值。
VE,量产品牌,尖顶巨盔,头盔,VE0117/VE0119/VE0121/VE0122 套装拆件,Sugarloaf Great Helm,西欧,1280-1350,Sugarloaf Great Helm；巨盔,锁甲、罩袍、骑枪、剑、熨斗盾,中高,原套部分晚期板甲/纹章身体与头盔年代并不完全一致。
VE,量产品牌,纹章巨盔,头盔,VE0150/VE0152 套装拆件,纹章化巨盔,西欧,1250-1350,十字军；巨盔；纹章,锁甲、罩袍、剑/骑枪、熨斗盾,中高,这一模具与罩袍、纹章盾的时代感较协调，是VE系列中较实用的盛期中世纪骑士头盔。
VE,量产品牌,凹槽封闭盔,头盔,VE0146 套装拆件,马克西米利安式凹槽封闭盔,德意志—中欧,1510-1530,马克西米利安式；封闭盔；凹槽,凹槽板甲、早期16世纪德式甲、长剑/poleaxe,中高,厂家称“哥特骑士”，但该盔更接近16世纪初德式凹槽封闭盔语言，而非1470–1490年代典型高哥特。
VE,量产品牌,栅格面甲封闭盔,头盔,VE0151/VE0153 套装拆件,栅格面甲封闭盔,西欧—中欧,1570-1620,封闭盔；栅格面甲；比赛,晚16世纪板甲、比赛/仪仗角色、近世早期重骑兵,中高,晚16—17世纪栅格面甲封闭盔有历史依据；本件比例与细节明显玩具化，不宜对应某一具体实物型号，也不宜当作典型中世纪战场盔。
VE,量产品牌,锁甲躯干,甲身,VE0138 套装拆件,锁甲躯干,欧洲,1100-1400,锁甲；通用,鼻护盔、锅盔、巨盔；普通步兵/骑士扈从,中高,形制较通用，可跨多种11–14世纪西欧/中欧角色使用。
VE,量产品牌,民兵/厚布衣躯干族,甲身,VE0139–VE0145 套装拆件,绗缝甲／厚布衣躯干族,西欧—中欧,1100-1500,绗缝甲；厚布衣；民兵；步兵,鼻护盔、锅盔、锁甲颈防；长矛、斧、弩,中,多款身体并非同一精确历史服装；应按具体头盔和角色再收窄年代。
VE,量产品牌,布面板甲躯干,甲身,VE0144 套装拆件,Coat of Plates／早期布面甲躯干,西欧—中欧,1350-1450,Coat of Plates；布面甲,盆盔、锅盔、弩；14世纪末步兵/弩手,中高,身体比原套装头盔更值得拆用；适合百年战争时期步兵、弩手或较富裕随从。
VE,量产品牌,泛型板甲躯干族,甲身,VE0108/VE0116–VE0122 套装拆件,泛型晚期板甲躯干,西欧—中欧,1450-1500,板甲；泛型,萨莱特盔、武装盔、锅盔；晚15世纪骑士/重装步战,中,原套装常与较早巨盔混搭；单独拆出后更适合搭配15世纪后半的头盔。
VE,量产品牌,凹槽板甲躯干,甲身,VE0146 套装拆件,马克西米利安式凹槽板甲躯干,德意志—中欧,1510-1530,马克西米利安式；凹槽板甲,VE0146凹槽封闭盔、早期16世纪德式头盔；长剑/poleaxe,中高,与VE0146头盔组合比厂家“哥特骑士”命名更接近马克西米利安时代。
VE,量产品牌,弩,武器,VE0110/VE0144 套装拆件,十字弓,欧洲,1100-1500,十字弓；弩手；步兵,锅盔、盆盔、布面甲/厚布衣,中高,通用度高；VE0110的“Sassanid Archer”身份不应据此反推弩属于萨珊王朝标准装备。
VE,量产品牌,长柄斧枪,武器,VE0120/VE0138 套装拆件,戟／长柄武器,中欧—西欧,1450-1600,戟；长柄武器；步兵,锅盔、布面甲、晚期板甲；城市民兵/佣兵,中,与 pollaxe 分开记录；器首仍属概括化的晚期戟式长兵器。
VE,量产品牌,长矛,武器,VE0115/VE0143/VE0145 套装拆件,长矛,欧洲,1000-1500,长矛；步兵；民兵；通用,鼻护盔、锅盔、锁甲/厚布衣,中高,具体用作骑枪还是步兵矛，应按杆长和人物身份调整。
ST/T系列,量产品牌,锅盔＋锁甲护颈,头盔,ST3831/ST3833/ST3834｜ST系列套装拆件,锅盔／战帽＋锁甲兜帽,西欧—中欧,1250-1450,锅盔；战帽；锁甲；军士,锁甲、罩袍、厚布衣；军士、城堡守卫、富裕步兵,中高,同系列反复使用的通用头部件，适用年代主要落在13–14世纪。
ST/T系列,量产品牌,分片鼻护盔＋锁甲护颈,头盔,ST3832/ST3835/T3634｜ST/T系列套装拆件,分片式鼻护盔＋锁甲兜帽,西欧—中欧,1100-1300,分片盔；鼻护盔；锁甲,锁甲、罩袍、圆盾/筝形盾、长矛/剑/斧,中高,分片穹顶、鼻护与锁甲护颈的组合适合盛期中世纪；不宜与成熟晚期板甲混搭。
ST/T系列,量产品牌,高锥顶战帽＋锁甲护颈,头盔,ST3836 蝙蝠神罗军拆件,高顶锅盔／战帽＋锁甲颈防,中欧—西欧,1400-1500,战帽；锅盔；步兵,布面甲、锁甲、长柄武器；15世纪步兵/佣兵/守卫,中高,原套整体可信度低于该头部件；头部件可单独按15世纪步战语境使用。
ST/T系列,量产品牌,全身锁甲躯干,甲身,链子甲骑士拆件,全身锁甲躯干,欧洲,1100-1400,锁甲；基础躯干,鼻护盔、锅盔、巨盔；骑士军士、步兵、扈从,高,
ST/T系列,量产品牌,锁甲＋罩袍躯干族,甲身,ST3831–ST3835/T3634｜ST/T系列套装拆件,锁甲＋罩袍躯干族,西欧—中欧,1200-1400,锁甲；罩袍；纹章,巨盔、鼻护盔、锅盔；骑士/军士,中高,阵营/纹章需按具体历史对象重新解释。
ST/T系列,量产品牌,巨盔,头盔,白马布袍骑士拆件,巨盔,西欧,1250-1350,巨盔；纹章骑士,锁甲＋罩袍、骑枪/剑、熨斗盾,高,
GH,量产品牌,巨盔,头盔,GH0253/GH0257｜GH十字军套装拆件,巨盔,西欧—十字军国家,1250-1350,十字军；巨盔,锁甲＋罩袍、骑枪/剑、熨斗盾；适合13世纪后半十字军国家骑士,高,GH0253/0257中的头盔本体历史语言明确；即使GH0257整套因纹章问题不收录，头盔仍可作为高价值拆件。
GH,量产品牌,犬嘴盆盔＋锁甲护颈,头盔,GH0254/GH0258｜GH十字军套装附带头盔,Houndskull Bascinet／Hundsgugel＋aventail,西欧—中欧,1370-1420,犬嘴盆盔；盆盔,14世纪末过渡甲、coat-of-plates、锁甲；英法/德意志骑士,高,零件本身很有用，但与13世纪十字军国家套装身份年代冲突；应拆下用于1370–1420角色。
GH,量产品牌,高顶分片式锅盔,头盔,GH0254/0256/0258/0260｜GH十字军套装拆件,高顶分片式锅盔,西欧—地中海拉丁世界,1200-1500,十字军；锅盔；Chapel-de-fer；步兵,锁甲、罩袍、布面甲；弩手、军士、步兵,中高,造型可覆盖较长时段，具体搭配需按年代和文化语境收窄。
GH,量产品牌,鼻护开放盔＋锁甲护颈,头盔,GH0255/GH0259｜GH十字军套装拆件,鼻护／开放式头盔＋锁甲兜帽,西欧—十字军国家,1150-1300,十字军；鼻护盔；开放式头盔；锁甲,长锁甲、罩袍、十字弓/长矛、圆盾或早期熨斗盾,中高,
GH,量产品牌,锁甲＋罩袍躯干族,甲身,GH0253–GH0260｜GH十字军系列套装拆件,锁甲＋罩袍躯干族,西欧—十字军国家,1150-1300,十字军；锁甲；罩袍,巨盔、鼻护盔、锅盔；骑士、军士、弩手,中高,阵营/纹章需按具体历史对象重新解释。
GH,量产品牌,十字弓,武器,GH0255/GH0259｜GH十字军套装拆件,十字弓,欧洲—地中海世界,1100-1500,十字军；十字弓；弩手；步兵,锁甲/厚布衣、锅盔或开放盔；十字军国家弩手,高,
GH,量产品牌,戟式长兵器,武器,GH0256/GH0260｜GH十字军套装拆件,戟式长兵器,中欧—西欧,1400-1550,戟；长柄武器；步兵,锅盔、布面甲、晚期步兵/佣兵,中高,武器本体可用，但不应与13世纪耶路撒冷/的黎波里身份成套；拆给14–16世纪步兵更合理。
DY_Minifigs,量产品牌,晚哥特式骑士板甲,甲身,DY334 哥特骑兵-银色甲拆件,晚期德意志哥特式板甲,德意志南部—奥地利,1470-1500,晚期哥特式；板甲,萨莱特盔＋护颏最典型；也可保留原过渡型头盔、配骑枪/poleaxe,中高,甲身的修长轮廓、棱脊和尖锐边缘符合晚15世纪德式哥特语言；原头盔略带约1500年前后的过渡感。
DY_Minifigs,量产品牌,哥特式板质马铠,马铠/马具,DY334 哥特骑兵-银色甲拆件,德意志哥特式板质马铠,德意志南部—奥地利,1480-1500,哥特式马铠；马铠；板质马铠,晚15世纪德意志高哥特骑士、萨莱特盔＋护颏、骑枪；适合完整具装骑兵展示,高,多层活动板、凹槽及人字/尖叶边缘与晚15世纪德式哥特式马铠高度相符。
DT系列,量产品牌,有角纹章巨盔,头盔,DT806/DT807 条顿骑士拆件,有角纹章巨盔,德意志骑士团—波罗的海地区,1280-1400,条顿骑士；巨盔；纹章盔饰；角状盔饰,锁甲＋罩袍、骑枪/剑、纹章盾；适合高级骑士、比赛/展示性角色,中高,头盔本体属于巨盔/纹章展示语言；大型角状盔饰不应视为条顿骑士团制式装备。
龙牌,小工作室,半球盔1,头盔,龙牌东罗马套装｜无官方命名｜头盔1,半球盔＋鳞片/锁甲复合护颈,东罗马—巴尔干—安纳托利亚,0950-1100,半球盔；复合护颈；重装骑兵,札甲/鳞甲胸甲、锁甲裙/条片裙甲、鸢形盾、长矛,中高,盔体与护颈的历史语言成立；具体“上鳞片、下锁甲”组合更像综合复原，不对应已确认的单一考古原型。红色盔饰为可选附件，不另建条目。
龙牌,小工作室,半球盔2,头盔,龙牌东罗马套装｜无官方命名｜头盔2,半球盔＋锁甲护颈,东罗马—巴尔干—安纳托利亚,1000-1200,半球盔；锁甲护颈；通用型,札甲/锁甲胸甲、锁甲裙、鸢形盾、长矛,中高,中期东罗马使用半球/圆顶盔与锁甲颈防有充分依据；该件轮廓较通用，也可借用于巴尔干、罗斯等相邻文化。红色盔饰为可选附件，不另建条目。
龙牌,小工作室,弗里吉亚式尖顶盔,头盔,龙牌东罗马套装｜无官方命名｜头盔3,弗里吉亚式尖顶盔,东罗马军队—巴尔干,1175-1200,前弯尖顶；弗里吉亚式；科穆宁时代,札甲/鳞甲胸甲、锁甲裙、鸢形盾、长矛/剑,中高,佩尔尼克与布拉尼切沃的12世纪考古发现提供直接形制参照；其起源存在西欧影响/输入的学术讨论，因此更适合作为东罗马军队—巴尔干使用型，而非宣称为纯粹东罗马原创盔型。
龙牌,小工作室,分片式尖顶盔,头盔,龙牌东罗马套装｜无官方命名｜头盔4,分片式尖顶盔,东罗马—巴尔干／罗斯—草原接触圈,1000-1200,分片结构；尖顶；跨文化；Spangen-type,札甲/锁甲胸甲、锁甲裙、鸢形盾、长矛,中高,分片式尖顶盔的技术语言在东罗马及周边接触圈有依据，但尚未确认该玩具件对应某一件具体出土实物。
龙牌,小工作室,札甲胸甲,甲身,龙牌东罗马套装｜无官方命名｜胸甲1,札甲胸甲／Klibanion式札甲防护,东罗马—巴尔干—安纳托利亚,0900-1200,札甲；Klibanion；重装骑兵,半球盔1/2、弗里吉亚式尖顶盔、条片裙甲/锁甲裙、鸢形盾、长矛,高,中期东罗马军事文献与图像资料均支持札甲/klibanion作为核心重装防护；该件适合表现精锐骑兵或重装步兵。
龙牌,小工作室,锁甲胸甲,甲身,龙牌东罗马套装｜无官方命名｜胸甲2,短身锁甲胸甲／Mail torso armour,东罗马—巴尔干—安纳托利亚,0900-1200,锁甲；通用甲身；重装步兵,半球盔2、分片式尖顶盔、锁甲裙、鸢形盾、长矛/剑,高,锁甲在东罗马及周边长期使用；该件形制较通用，适合作为普通重装兵、骑兵或跨文化混编角色的基础甲身。
龙牌,小工作室,鳞甲胸甲,甲身,龙牌东罗马套装｜无官方命名｜胸甲3,鳞甲胸甲／Scale cuirass,东罗马—巴尔干—安纳托利亚,0900-1200,鳞甲；复合防护；重装步兵,半球盔1/2、锁甲裙/条片裙甲、鸢形盾、长矛,中高,鳞片式防护在东罗马图像与相关军事装备传统中成立；该玩具件为概括化造型，不对应单一标准甲型。
龙牌,小工作室,锁甲裙1,甲身,龙牌东罗马套装｜无官方命名｜裙甲1,长式开衩锁甲裙／Mail skirt,东罗马—巴尔干—安纳托利亚,0900-1200,锁甲；下身防护；开衩,札甲/鳞甲胸甲、半球盔或弗里吉亚式尖顶盔,中高,作为复合甲体系的下身锁甲防护合理；具体长度与开衩方式属于模型化概括，不宜对应单一规范型。
龙牌,小工作室,锁甲裙2,甲身,龙牌东罗马套装｜无官方命名｜裙甲2,短式锁甲腰裙／Short mail skirt,东罗马—巴尔干—安纳托利亚,0900-1200,锁甲；下身防护；短式,札甲/锁甲/鳞甲胸甲、半球盔、鸢形盾,中高,比锁甲裙1更短、更通用，可作为多种复合甲身的下身补充；不视为独立历史制式名称。
龙牌,小工作室,条片裙甲,甲身,龙牌东罗马套装｜无官方命名｜裙甲3,条片式下身防护,东罗马—巴尔干—安纳托利亚,0900-1200,条片；下身防护；复合甲；Kremasmata,札甲/鳞甲胸甲、半球盔1、鸢形盾、长矛,中,纵向条片＋末端铆钉/装饰钉具有中期东罗马复合下身防护的视觉语言，但玩具造型较概括，不硬认作某一种单一考古标准型。
龙牌,小工作室,鸢形盾,盾牌,龙牌东罗马套装｜无官方命名｜盾牌1–6,鸢形／杏仁形盾,东罗马—巴尔干／西欧,1050-1200,鸢形盾；长盾；Kite shield；横带纹；新月星纹；新月纹；星形纹；卷纹；分区配色,东罗马重装骑兵/步兵；半球盔或弗里吉亚式尖顶盔＋札甲/鳞甲,中高,六件同盾形不同纹样版本合并。盾形本身具有11–12世纪历史依据；各款纹样与配色均按厂家装饰方案处理，不据此判定特定部队或纹章。
