卖家,卖家类型,配件名称,类别,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,推荐搭配,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注
未标明品牌,大众量产品牌,金饰深顿项圆顶盔,头盔,S103｜宋朝量产组｜头盔｜拆件,宋代圆顶兜鍪,两宋,1000 / 1200,宋代；兜鍪；甲士,两宋重装弩兵/甲士；与豹纹兽面细片甲身和弩搭配,金属兜鍪意象；侧后防护/顿项意象,墓葬俑像；同时代图像或绘画；兵书；学术研究,中,适合与本组弩手方案共同使用；整体宋代方向尚可，具体盔型暂不细定。
未标明品牌,大众量产品牌,军用弩,武器,S103｜宋朝量产组｜弩｜拆件,宋代军用弩,两宋,1000 / 1200,宋代；弩；弩兵；步兵；军用弩,北宋—南宋弩兵、守城兵、重装步兵；可与札鳞甲或较朴素军服搭配,横弓臂＋弩臂/弩机意象；单兵手持发射武器,同时代图像或绘画；兵书；史书或制度文献,中高,本组武器中最值得保留的零件之一。宋代军用弩体系非常成熟；具体细分弩名暂不细定。
未标明品牌,大众量产品牌,浮雕兽面圆盾,盾牌,S101｜宋朝量产组｜圆盾｜拆件,圆盾,中国,0600 / 1800,圆盾；兽面纹；浮雕；单手盾,步兵或骑兵单手持盾；可与刀剑、短兵等组合,正圆形盾体；左臂系持/单手持盾意象；浮雕兽面纹饰,同时代图像或绘画；兵书；史书或制度文献；学术研究,中,圆盾自唐至清持续见用；浮雕兽面纹饰属样式特征，不据此细分年代。
未标明品牌,大众量产品牌,多层披膊细片札甲,甲身,玄甲军｜甲身｜拆件,唐末至五代细片札甲,唐末至五代,0800 / 1000,唐末；五代；札甲；细片札甲；多层披膊；甲裙,唐末—五代重装步兵；也可作为宋初延续性 kitbash 甲身,细片札甲；多层阶梯式披膊/肩臂防护；分层长甲裙,墓葬俑像；同时代图像或绘画；学术研究,中,札甲结构清楚；多层肩部结构可理解为披膊/肩臂甲的抽象化处理。主断代收在唐末—五代，宋初使用作为延续性搭配。
未标明品牌,大众量产品牌,全覆面深顿项圆顶盔,头盔,玄甲军｜神策陌刀军｜头盔｜拆件,五代至北宋重型兜鍪,五代至北宋,0950 / 1150,五代；北宋；兜鍪；顿项；重型盔；深护颈；艺术化,五代—北宋重装步兵；与多层披膊细片札甲、棹刀搭配,低圆/覆钵式盔体；深侧后头颈防护；正面近全覆式眼眶/面罩处理,同时代图像或绘画；兵书；学术研究；现代综合复原,中,可用的核心是低圆盔体＋深侧后顿项/护颈语言；正面硬质眼眶与近全覆面处理明显夸张。
未标明品牌,大众量产品牌,棹刀,武器,玄甲军｜神策陌刀军｜长柄刀｜拆件,棹刀,北宋,1000 / 1127,宋代；棹刀；掉刀；长柄刀；步兵；重装甲士,北宋重装步兵、持长柄刀甲士；与全覆面深顿项圆顶盔和多层披膊细片札甲搭配,长柄；刀刃前/上部较宽的长柄刀意象；双手长兵,兵书,中高,刀刃前/上部较宽并接长柄，与宋代棹刀图式较合；具体亚型暂不细分。
未标明品牌,大众量产品牌,横列札甲重甲身,甲身,陷阵营｜甲身｜拆件,汉末至魏晋重装札甲,汉末至魏晋—北方,0150 / 0350,汉末；三国；魏晋；札甲；披膊；甲裙；重装步兵,与更可靠的汉末铁胄、环首长刀、铩/铍、戟或长矛搭配；若表现“陷阵营”，只按泛精锐重步兵理解,横列细片/札片甲纹理；披膊/肩臂防护；下部甲裙,考古实物；墓葬俑像；同时代图像或绘画,中,原“陷阵营”名不参与判型；甲身可作汉末—三国精锐重步兵风味，红银装饰与原面罩明显游戏化。
未标明品牌,大众量产品牌,环首长刀,武器,虎豹骑｜环首刀｜拆件,东汉至三国大型环首长刀,东汉至三国,0100 / 0300,东汉；三国；环首刀；长刀；佩刀；步兵；骑兵,东汉末—三国甲士、步兵或骑兵；与札甲、铁胄搭配，也可用于汉末—三国精锐步兵组合,长直单刃刀身；短柄；大型环首；独立护格弱/不明显,考古实物；学术研究,中高,东汉—三国存在大型环首刀实物；本件比例偏长，仍属环首刀结构范围。
未标明品牌,大众量产品牌,弧端长方盾,盾牌,虎豹骑｜长牌｜拆件,三国至魏晋弧端长方盾,三国至魏晋,0200 / 0400,三国；魏晋；长方盾；步兵盾；木盾；铆钉,三国至魏晋步兵、持盾甲士；可与环首长刀、长矛或戟搭配,纵长方盾体；上下弧端/圆角；包边与金属铆钉意象,考古实物；墓葬俑像；同时代图像或绘画；学术研究,中高,盾形与步兵用途可用；金色卷纹、厚度和比例均有艺术化。
未标明品牌,大众量产品牌,双圆护披膊甲身,甲身,虎豹骑｜甲身｜拆件,北朝晚期至隋初双圆护甲身,北朝晚期至隋—北方,0450 / 0650,北朝；隋；双圆护；披膊；甲裙；高级甲士；两当披裹甲候选；明光甲争议,北朝晚期—隋初高级甲士/武将；与分片兜鍪、长矛/槊或刀剑搭配,成对圆护；小甲片主体；披膊；甲裙,墓葬俑像；同时代图像或绘画,中,双圆护、披膊与甲裙偏北朝晚期—隋初；胸背连接不清，暂列两当披裹路线候选，“明光甲”不作确定对应。
未标明品牌,大众量产品牌,尖顶大盾,盾牌,来源未标明｜尖顶大盾,尖顶大盾,中国,1000 / 1800,盾牌；尖顶；格栅；加固带；大型,大型步兵盾、持盾甲士；可与刀剑或长兵组合,大型纵长盾体；上下收尖；纵向格栅/加强条；多道横向加固带；周缘铆钉,兵书；史书或制度文献；学术研究,中,大型纵长盾自宋至清持续见用；本件格栅与加固带不锁定具体制式。
未标明品牌,大众量产品牌,彩绘兽面方孔盾,盾牌,装重巨盾铁浮屠铁骑（单只）｜大盾,兽面纹开孔盾,中国,1500 / 1800,盾牌；长方盾；开孔；兽面纹；彩绘；大型,大型单兵盾；可用于步兵或骑兵持盾表现,纵长盾体；圆弧上缘；中央矩形开口；周缘铆钉；兽面彩绘,兵书；史书或制度文献；学术研究,中,兽面牌与开孔复合盾在明清资料中较集中；中央开口功能未定。
人仔工厂,精品量产品牌,毛缘铁盔,头盔,完颜宗弼｜头盔,金代女真铁盔,金—女真/东北亚,1100 / 1234,金；女真；铁盔；毛缘；顿项,金代女真札甲、重装甲士或高级武人；可与深顿项、长札甲等金代女真装备组合,硬质铁盔壳；侧后防护/顿项；毛皮包边；顶部饰物,考古/馆藏实物；学术研究,中,铁盔主体与侧后防护符合金代女真/东北亚铁盔方向；毛皮包边在北方物质文化中合理，但具体军用盔装法缺乏直接对应。不视为完颜宗弼本人头盔复原。
