卖家,卖家类型,套装名称,卖家原名/来源编号,历史类型/考据名称,历史地域/文化圈,适用年代,风格/检索标签,套装内容,适合表现,搭配/替换建议,甲胄结构/制作方式,复原依据类型,考据置信度,考据备注,参考价格（元）
未标明品牌,大众量产品牌,清中期八旗兵丁,KT1095｜八旗兵,清中期八旗镶钉绵甲,清—八旗,1756 / 1800,八旗；绵甲；镶钉；八色变体；骑射；乾隆,黑漆八旗盔、一体化甲衣/下裳积木件、弓箭、腰刀等；八旗色变体,乾隆中期八旗兵丁、阅兵/操演甲士,成品优先保留，可作低成本展示；八色作为同一套装族按题材选色。,绸面镶钉绵甲意象；上衣/下裳轮廓；护肩/护臂意象,考古实物；传世实物,中高,胸甲/裙甲一体化属积木妥协；普通八旗兵甲不必配完整臂甲。1756年后旗色/镶边有依据，商品仍属量产概括。,
人仔工厂,精品量产品牌,金代女真重装甲士,铁浮屠斥候,金代女真重装甲士组合,金—女真/东北亚,1100 / 1234,金；女真；重装甲士；铁浮图；硬军；札甲；顿项；击兵,女真风格铁盔/兜鍪、深顿项、重型札甲、披膊/肩臂防护、长甲裙及双持大型击兵,金代女真重装甲士；女真硬军；重装骑兵骑手；铁浮图题材,甲盔主体可保留。双持大型击兵视觉偏夸张，优先将其中一柄替换为同工艺层级的长枪/矛，另一柄保留作副击兵。商品本身不含马；若表现完整重装骑兵，可另配合适的金代/女真具装马。,硬质兜鍪；深顿项；重型札甲主体；披膊/肩臂防护；长甲裙,史书/制度文献；考古/馆藏实物；学术研究,中高,“铁浮图”按宋人对金军重装精锐的称呼理解，不视为固定甲型；卖家“斥候”仅作商品题材，不作为正式兵种判断。,
人仔工厂,精品量产品牌,平教经,平教经,平安末大铠系具足,日本,1150 / 1230,日本；平安末；镰仓；大铠；大袖；弦走韦；源平；高级武士,大袖、大型吹返、多段錣、栴檀板/鸠尾板式胸前部件、弦走韦式彩绘前胸、宽幅草摺、巨大蝶形立物,源平期高级骑射/实战武士；平教经题材,按高价完整套装保留，不拆甲身/兜。巨蝶立物为人物识别件保留；若转实战造型可换同档次、同时代源平武将立物。,大型吹返；多段錣；栴檀板/鸠尾板式胸前部件；弦走韦式彩绘前胸；大袖；宽幅草摺；蝶形立物,传世实物；博物馆藏品；学术研究,中高,人物题材可成立；巨大蝶形立物承担人物识别，无平教经本人甲胄复原依据；与平清盛、源义经同一大铠基础造型族。,480
人仔工厂,精品量产品牌,平清盛,平清盛,平安末大铠系具足,日本,1150 / 1230,日本；平安末；镰仓；大铠；大袖；弦走韦；鍬形式立物；源平；高级武士,大袖、大型吹返、多段錣、古式胸前护板、弦走韦式彩绘前胸、宽幅草摺、鍬形式立物,源平期高级武士/高阶人物；平清盛题材,与平教经、源义经同属一条大铠造型族，按高价完整套装保留，不拆件；收藏主要需考虑与同族重复。,大型吹返；多段錣；古式胸前护板；弦走韦式彩绘前胸；大袖；宽幅草摺；鍬形式立物,传世实物；博物馆藏品；学术研究,中高,无平清盛本人甲胄复原依据；不应因白金涂装显眼而认为甲型优于同族两件，收藏需考虑与平教经、源义经结构重复。,480
人仔工厂,精品量产品牌,源义经,源义经,平安末大铠系具足,日本,1150 / 1230,日本；平安末；镰仓；大铠；大袖；弦走韦；源平；高级武士,大袖、大型吹返、多段錣、古式胸前护板、弦走韦式虎纹彩绘前胸、宽幅草摺,源平期高级武士；源义经题材,按高价完整套装保留，不拆件；甲身、兜与草摺按完整套装保存。,大型吹返；多段錣；古式胸前护板；弦走韦式虎纹彩绘前胸；大袖；宽幅草摺,传世实物；博物馆藏品；学术研究,中高,有大山祇神社传源义经赤丝威铠可对照，但商品明显不是该传承甲直接复原；传义经兜已缺失，不能以传承甲兜为商品兜背书。,480
人仔工厂,精品量产品牌,今川义元,今川义元,战国胴丸系具足,日本,1500 / 1580,日本；战国；胴丸；小札威甲；高级武士；大名,小札威甲甲身、多段錣、袖、胴与分段草摺,战国中期高级武士/大名；今川义元题材,按高价完整套装保留，不拆件；若配武器须为同工艺层级、同时代武士刀或长枪。,小札威甲；多段錣；袖；胴与分段草摺,传世实物；博物馆藏品；学术研究,中高,尚缺清楚右胁闭合特写，胴丸判断保留余量；无今川义元本人传世甲复原依据，人物名不为甲型本身加分。,480
人仔工厂,精品量产品牌,毛利元就,毛利元就,战国传统小札威甲,日本,1500 / 1580,日本；战国；小札威甲；威甲；大名；高级武士,小札/威甲甲身、袖、胴、草摺、大型金色立物,战国中期高级武士/大名；毛利元就题材,按高价完整套装保留，不拆件；人物符号克制，原套可直接作为16世纪高级武士传统威甲使用。,小札/威甲视觉；袖；胴；草摺；大型金色立物,传世实物；博物馆藏品；学术研究,中高,大型金色立物仍属人物化；胴型暂不硬分，避免仅凭正面纹理定型；商品并非官方记录吉甲胄资料的复原。,480
人仔工厂,精品量产品牌,德川家康,德川家康,桃山当世具足（歯朶具足系）,日本,1570 / 1620,日本；安土桃山；当世具足；歯朶具足；黑漆；大名；歯朶前立,黑色具足甲身、獅噛与日轮及歯朶前立、白鬚面部意匠、多段草摺、长柄兵器,安土桃山—江户初高级大名/武将；德川家康,原套保留，不拆甲身/兜；幻想化的巨大多叉长柄兵器建议换同档次、同时代的黒漆长枪或薙刀。,黒漆当世具足；獅噛；日轮与歯朶前立；白鬚意匠；多段草摺,传世实物；博物馆藏品；学术研究,中高,明确对应久能山传家康歯朶具足母题；前立比例放大，原物沉稳黑漆被强化为红金华丽配色，巨大多叉长柄兵器明显幻想化。,480
人仔工厂,精品量产品牌,本多忠胜,本多忠胜,桃山当世具足（二枚胴）,日本,1560 / 1600,日本；安土桃山；当世具足；二枚胴；鹿角脇立；蜻蛉切；武将,黑色鹿角脇立兜、獅噛前立、二枚胴甲身、大型金色数珠、笹叶形大身槍,安土桃山高级武将；本多忠胜,原套保留；蜻蛉切意匠兵器按本人传世母题保留；数珠等附件不拆，不拆甲身/兜。,铁蝶番二枚胴；鹿角脇立兜；獅噛前立；大型金色数珠；笹叶形大身槍,传世实物；博物馆藏品；学术研究,高,兜、胴、数珠均有本人所用完整具足强锚点；鹿角在人仔比例下仍略戏剧化，部分板札和金具被简化，蜻蛉切细部雕刻未必精确。,480
人仔工厂,精品量产品牌,黑田长政,黑田长政,桃山当世具足（桃形大水牛脇立兜）,日本,1570 / 1620,日本；安土桃山；当世具足；桃形兜；大水牛脇立；大名；武将,黑色桃形兜、巨大金色大水牛脇立、圆形金色前立、黑金红晚期具足甲身,桃山大名/高级武将；黑田长政,原套保留，不拆甲身/兜；武器仅在有同工艺层级、同时代件时少量替换。,桃形兜；大水牛脇立；圆形前立；晚期当世具足甲身,传世实物；博物馆藏品；学术研究,中高,兜直接对应长政所用桃形大水牛脇立兜传统，但甲身未证为该兜原配本人胴；不能把本人真兜与另一件五枚胴拼成整套复原；武器不自动认作日本号。,480
人仔工厂,精品量产品牌,福岛正则,福岛正则,桃山当世具足（大水牛脇立兜）,日本,1570 / 1630,日本；安土桃山；当世具足；大水牛脇立；大名；风味保留,高耸兜鉢、金色大水牛脇立、短錣、蓝黑白金威甲、长柄兵器,桃山武将/大名；福岛正则题材,原套保留；与日本号大身槍结构不符的幻想化长柄兵器建议换同档次、同时代长枪/大身槍；与黑田大水牛题材存在收藏重复。,高耸兜鉢；大水牛脇立；短錣；威甲；长柄兵器,传世实物；博物馆藏品；学术研究,中,大水牛兜有与黑田长政交换的传承支持；整套甲身非本人传世复原，人物化明显；长柄兵器与日本号大身槍结构明显不符，幻想化严重。,480
人仔工厂,精品量产品牌,不动明王,不动明王,不动明王意匠当世具足,日本,1560 / 1620,日本；战国末；当世具足；宗教意匠；不动明王；三鈷剑前立；风味保留,筋兜式兜鉢、紧凑錣、黑色硬质板胴、金具/铆钉、小型肩防护、多段草摺、佛像与火焰光背立物、三鈷剑前立,战国末—江户初宗教意匠高级武将；不动明王题材,原套保留；宗教光背立物不与普通战场场景混搭；三鈷剑前立保留。,筋兜式兜鉢；紧凑錣；硬质板胴；金具铆钉；小型肩防护；多段草摺；佛像与火焰光背立物,博物馆藏品；同时代图像或绘画；学术研究,中,大型佛像+火焰光背远超常见战场前立尺度，属历史宗教母题上的现代强化；不作标准当世具足样本；不设“不动明王甲”历史类型。,480
未标明工作室,小工作室,武田信玄,武田信玄（打印）,战国传统威甲具足（法性兜母题）,日本—甲斐,1540 / 1600,日本；甲斐；战国；法性兜；传统威甲；大名；打印,巨大白毛、獅噛式正面、细长金角、宽吹返、红白金传统威甲、大袖、多段草摺,战国中后期甲斐大名；武田信玄,原套保留，不拆件；白毛尺寸有传承实物依据，不作夸张件撤除。,法性兜式白毛立物；獅噛正面；金角；宽吹返；传统威甲；大袖；多段草摺,传世实物；博物馆藏品；学术研究,中高,兜引传諏訪法性兜；白毛尺寸有传承实物依据，不应简单作夸张处理；甲身无证据为原配本人甲，红白金为协调的人物化组合。,230
未标明工作室,小工作室,上杉谦信,上杉谦信（打印）,室町末—战国传统威甲（色々威腹巻）,日本—越后,1500 / 1580,日本；越后；战国；腹巻；色々威；筋兜；饭纲前立；传统威甲；打印,筋兜、饭纲明神骑狐前立、大吹返、色々威小札、袖、多间草摺,战国越后大名/高级武将；上杉谦信,原套保留，不拆件；饭纲前立、色々威甲身按本人传世母题呈现。,筋兜；饭纲明神骑狐前立；大吹返；色々威小札；袖；多间草摺,传世实物；博物馆藏品；学术研究,中高,直接对应上杉神社传色々威腹巻整套母题，仍属“传”层级；积木比例下吹返、袖与前立略放大。,230
未标明工作室,小工作室,伊达政宗,伊达政宗（打印）,桃山黑漆五枚胴具足,日本—奥州,1570 / 1620,日本；奥州；安土桃山；五枚胴；黑漆；筋兜；新月前立；大将；打印,黑色筋兜、细长金色新月前立、蓝/紺色錣、黑色板胴、深色多间草摺、火绳枪,桃山奥州大名/高级武将；伊达政宗,原套保留，不拆件；火绳枪属时代相容附件，可保留或按题材换同档次刀剑/长枪。,黑色筋兜；新月前立；紺色錣；黑色五枚胴方向板胴；多间草摺,传世实物；博物馆藏品；学术研究,中高,最接近伊达政宗本人所用黑漆五枚胴母题；未严格表现五枚胴全部蝶番分片及原物九间六段草摺；火绳枪非本人专属武器证据。,230
未标明工作室,小工作室,丰臣秀吉,丰臣秀吉（打印）,桃山当世具足（马藺后立兜）,日本,1560 / 1620,日本；安土桃山；当世具足；马藺后立；变兜；传统威甲；打印,黑色兜鉢、放射状金色马藺后立、黑红传统威甲、多段草摺、刀剑与军扇,安土桃山高级大名/武将；丰臣秀吉,原套保留；马藺后立尺寸有传承依据，保留；下方甲身为组合性表达，不作本人整甲拆改。,黑色兜鉢；马藺后立；黑红传统威甲；多段草摺,传世实物；博物馆藏品；学术研究,中高,马藺后立兜有秀吉所用传承和馆藏展示依据；下方黑红甲身为组合性表达，非对应同一件本人完整传世甲。,230
未标明工作室,小工作室,织田信长,织田信长（打印）,战国传统胴丸系具足（紺丝威）,日本,1550 / 1620,日本；战国；胴丸；紺丝威；筋兜；鍬形；木瓜前立；打印,黑漆筋兜、金铜鍬形、木瓜前立、紺/蓝系毛引威小札、大袖、传统胴丸甲身、多间草摺、火绳枪/军扇,战国高级武将/大名；织田信长,原套保留，不拆件；火绳枪/军扇属时代相容附件，并非本人甲证据，可按题材保留或同档替换。,黑漆筋兜；金铜鍬形；木瓜前立；紺丝威小札；胴丸式甲身；大袖；多间草摺,传世实物；博物馆藏品；学术研究,中高,对应京都国立博物馆认定重文胴丸（传信长所用、柏原藩传来）；“信长所用”仍属传承归属；蓝色较鲜艳、若干金饰比例有积木化放大。,230
未标明工作室,小工作室,明智光秀,明智光秀（打印）,战国传统威甲（人物化烏帽子形兜）,日本,1560 / 1610,日本；战国；传统威甲；烏帽子形兜；桔梗纹；高级武将；打印；风味保留,高耸乌帽子形/尖顶兜、金色月形与桔梗纹前立、红白蓝绿多色威小札、袖、多段草摺,战国高级武将；明智光秀题材,按高价完整套装保留；兜为现代人物化组合，不按本人装备拆改。,乌帽子形/尖顶兜；月形与桔梗纹前立；多色威小札；袖；多段草摺,博物馆藏品；史书或制度文献；学术研究,中,兜与现有较强传承资料并不吻合；更像把桔梗家纹与战国兜元素组合成的现代人物形象，无本人装备直接锚点。,230
未标明工作室,小工作室,明智光春,明智光春（打印）,桃山南蛮胴具足,日本,1560 / 1620,日本；安土桃山；南蛮胴；当世具足；兔耳形立物；高级武将；打印,黑漆大板胴、兔耳形立物、金色月形前立、蓝色錣、袖、多段草摺,安土桃山早期南蛮胴武将；明智光春题材,原套保留；卖家展示的两个近似版本视为同一商品/同一历史目标的近似版本，不拆开建档。,南蛮胴大板结构；兔耳形立物；月形前立；蓝色錣；袖；多段草摺,博物馆藏品；学术研究,中高,黑白板胴、兔耳与月形直接对应该传世南蛮胴；正面“天”字骷髅、背面富士山及云龙蒔绘等最强细节未表现，属结构母题复原而非精细复制。,230
未标明工作室,小工作室,池田恒兴,池田恒兴（打印）,战国传统威甲（家传画像母题）,日本,1560 / 1610,日本；战国；传统威甲；祖先像母题；家传画像；武将；风味保留；打印,异形/张悬式视觉兜、左右横出构件、额前白色饰带、深绿传统威甲、白色几何胸前罩片、刀剑与军扇,战国后期武将/家传祖先像形象；池田恒兴题材,按高价完整套装保留；按家传祖先像构图保存，不作本人实战甲拆改。,异形/张悬式视觉兜；横出构件；白色胸前罩片；深绿传统威甲,后世家传画像；博物馆藏品；学术研究,中,设计来自池田家祖先像（约1645—1650狩野尚信祖本）；肖像在恒兴故后60余年绘制，不能作同时代实战着装记录；按后世家传图像复原而非本人甲复原。,230
未标明工作室,小工作室,宇喜多秀家,宇喜多秀家（打印）,桃山传统威甲（烏帽子形兜）,日本,1560 / 1620,日本；安土桃山；传统威甲；烏帽子形兜；半月前立；大名；风味保留；打印,银色烏帽子形兜、大型金色半月与圆形中央饰、白黄红系威甲、多段錣与草摺、黄色无袖阵羽织、面具,桃山五大家老级大名/武将；宇喜多秀家题材,按高价完整套装保留；黄色阵羽织与甲身按组合式人物题材展示，不拆件。,乌帽子形兜；半月与圆形饰；威甲；多段錣与草摺；黄色阵羽织,史书或制度文献；博物馆藏品；学术研究,中,兜与黄阵羽织缺乏本人直接锚点；岡山著名烏帽子形兜甲属宇喜多基家传承，不能借给秀家背书；甲型与现有多件传统威甲重复。,230
未标明工作室,小工作室,朝仓义景,朝仓义景（打印）,战国传统小札威甲,日本,1540 / 1600,日本；越前；战国；小札威甲；筋兜；大名；风味保留；打印,黑色筋兜鉢、大型鍬形式与中央龙兽式立物、紫系密威小札、大袖、完整肩臂防护、多段草摺,战国后期越前大名；朝仓义景题材,按高价完整套装保留；巨大立物按人物识别保留，甲身按战国传统威甲保存。,筋兜鉢；鍬形式与龙兽式立物；紫系密威小札；大袖；完整肩臂防护；多段草摺,传世实物；博物馆藏品；学术研究,中,兜鉢基础与传义景黑漆筋兜方向相容，但巨大立物与紫甲为人物化配色；不能据此认证义景本人穿此套；结构主线与今川、毛利、信长等传统威甲重复。,230
未标明工作室,小工作室,足利义昭,足利义昭（打印）,战国传统威甲,日本,1550 / 1590,日本；战国；传统威甲；烏帽子形兜；鍬形式立物；将军；风味保留；打印,高耸乌帽子/尖顶兜、双鍬形式立物、红色密威小札甲、大袖、多段錣与草摺、彩绘韦/边饰,战国末室町幕府将军；足利义昭题材,按高价完整套装保留；高兜、大立物与红甲为将军角色化组合，不拆件。,乌帽子/尖顶兜；双鍬形式立物；红色密威甲；大袖；多段錣与草摺；彩绘韦,同时代图像或绘画；史书或制度文献；学术研究,中,传统威甲在16世纪可成立，但高兜、大金色立物与红甲无传世甲或同时代图像直接对应；为角色化推定，人物证据弱且甲型与更有依据条目重复。,230
